Usera,Chamberí,San Blas-Canillejas,Moncloa-Aravaca,Barajas,Salamanca,Tetuán,Chamartín,Carabanchel,Villaverde,Latina,Hortaleza,Centro,Ciudad Lineal,Vicálvaro,Villa de Vallecas,Retiro,Fuencarral-El Pardo,Moratalaz,Puente de Vallecas,price,baths,rooms,sqft,Independientes
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3000000,4,4,269,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3600000,6,5,376,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1700000,3,3,124,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1750000,3,4,200,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3500000,6,5,325,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4750000,6,5,440,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1420000,3,5,185,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1400000,3,4,174,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1670000,5,4,165,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1650000,2,4,211,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1495000,3,4,264,0
