price,baths,rooms,sqft,address,Pisos,Independientes
1750000,3,2,143,"Recoletos, Madrid",1,0
629900,2,4,133,"Estrella, Madrid",1,0
899000,1,5,144,"Sol, Madrid",1,0
239900,2,4,157,"Vista Alegre, Madrid",1,0
375000,1,1,66,"Palacio, Madrid",1,0
299000,1,2,61,"Malasaña-Universidad, Madrid",1,0
570000,2,4,160,"Malasaña-Universidad, Madrid",1,0
470000,1,2,91,"Palomas, Madrid",1,0
1330000,3,5,238,"Castilla, Madrid",1,0
2095000,6,5,388,"Fuencarral, Madrid",0,1
370000,1,4,86,"Pacífico, Madrid",1,0
670000,2,3,140,"Retiro, Madrid",1,0
4200000,4,5,404,"Almagro, Madrid",1,0
598000,1,3,112,"Centro, Madrid",1,0
610000,2,2,120,"Colina, Madrid",1,0
125000,1,1,62,"San Diego, Madrid",1,0
520000,3,2,111,"Centro, Madrid",1,0
745000,3,4,153,"Vallehermoso, Madrid",1,0
155000,1,1,43,"Vista Alegre, Madrid",1,0
498000,2,5,139,"Imperial, Madrid",1,0
2500000,11,11,500,"Moncloa, Madrid",0,1
1290000,4,5,346,"Hortaleza, Madrid",0,1
1650000,5,5,360,"Hortaleza, Madrid",0,1
865000,2,2,104,"Chamberí, Madrid",1,0
560000,2,2,84,"Guindalera, Madrid",1,0
700000,1,3,103,"Chamberí, Madrid",1,0
140000,1,2,56,"San Isidro, Madrid",1,0
799000,2,2,75,"Barrio de Salamanca, Madrid",1,0
369000,1,1,61,"Ciudad Universitaria, Madrid",1,0
1490000,3,3,144,"Barrio de Salamanca, Madrid",1,0
860000,3,6,363,"Barajas, Madrid",0,1
8900000,6,5,713,"Recoletos, Madrid",1,0
1440000,3,5,277,"Chamberí, Madrid",1,0
698000,2,2,108,"Barrio de Salamanca, Madrid",1,0
990000,4,6,293,"Ciudad Lineal, Madrid",1,0
3465000,10,12,1380,"Conde Orgaz-Piovera, Madrid",0,1
3100000,5,4,750,"Conde Orgaz-Piovera, Madrid",0,1
1170000,2,2,117,"Barrio de Salamanca, Madrid",1,0
370000,1,3,56,"Chamartín, Madrid",1,0
1240000,5,9,601,"Fuencarral, Madrid",0,1
1950000,3,4,283,"El Viso, Madrid",1,0
475000,2,4,100,"Chamartín, Madrid",1,0
2950000,5,6,700,"Moncloa, Madrid",0,1
299000,2,3,101,"Barajas, Madrid",1,0
860000,2,2,252,"Hortaleza, Madrid",1,0
500000,1,1,78,"Ciudad Lineal, Madrid",1,0
270000,1,1,80,"Barajas, Madrid",1,0
769000,2,2,198,"Retiro, Madrid",1,0
1100000,4,5,224,"Ibiza, Madrid",1,0
137000,1,2,68,"Ventas, Madrid",1,0
253000,1,3,80,"Timón, Madrid",1,0
899000,2,3,204,"Virgen del Cortijo - Manoteras, Madrid",1,0
859000,2,2,88,"Sol, Madrid",1,0
334740,2,2,102,"Pueblo Nuevo, Madrid",1,0
1499000,3,3,187,"Cuzco-Castillejos, Madrid",1,0
