Usera,Chamberí,San Blas-Canillejas,Moncloa-Aravaca,Barajas,Salamanca,Tetuán,Chamartín,Carabanchel,Villaverde,Latina,Hortaleza,Centro,Ciudad Lineal,Vicálvaro,Villa de Vallecas,Retiro,Fuencarral-El Pardo,Moratalaz,Puente de Vallecas,price,baths,rooms,sqft,size_range,Independientes
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3000000,5,4,269,Q4 - Very Large,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1100000,3,5,199,Q3 - Large,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,790000,3,3,137,Q2 - Medium,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1450000,4,4,258,Q3 - Large,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1160000,3,5,202,Q3 - Large,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,450000,2,3,105,Q2 - Medium,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,279000,1,2,70,Q1 - Small,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,339000,2,3,87,Q1 - Small,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,1,1,75,Q1 - Small,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,230000,2,3,98,Q1 - Small,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,265000,2,2,97,Q1 - Small,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,388000,2,4,144,Q2 - Medium,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,420000,2,3,73,Q1 - Small,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1900000,4,7,370,Q4 - Very Large,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,210000,1,0,51,Q1 - Small,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1900000,4,6,372,Q4 - Very Large,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950000,7,8,660,Q4 - Very Large,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485000,2,3,180,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995000,3,3,170,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900000,5,5,284,Q4 - Very Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7900000,5,4,473,Q4 - Very Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400000,4,3,125,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2990000,3,4,275,Q4 - Very Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485000,1,1,48,Q1 - Small,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4300000,3,10,451,Q4 - Very Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900000,5,5,284,Q4 - Very Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1670000,3,4,158,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400000,4,3,125,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879000,2,2,76,Q1 - Small,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,3,4,173,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320000,2,3,140,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2950000,3,4,350,Q4 - Very Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1680000,4,3,214,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960000,2,4,150,Q2 - Medium,0
